clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	25.0163	82.97407	22.83083	2.75823	1.49558	0.00594	6.92307	9.63951	6.95536	59.31435	37.51155	65.61757	1.13656	80.49218	14.41209	5.65798
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales	19.48421	5.69472	39.356	20.16057	24.22063	29.39268	40.70941	32.67212	33.93967	23.47901	24.24915	21.89633	35.8322	9.74599	31.24671	23.609
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	17.18414	5.23418	15.276	7.38576	7.79766	29.18824	13.19422	11.9017	7.75776	1.89625	15.20512	3.83475	11.16855	3.35394	14.9868	20.68919
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374	8.20321	0.0	3.51593	1.49869	2.4726	8.34966	0.02699	9.84064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68377
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	8.13878	2.60357	3.13776	10.51965	10.262	11.91599	7.623	3.48932	13.18069	3.02304	12.16171	3.11551	12.19531	3.04682	14.63781	5.76528
k__Bacteria;p__Firmicutes;c__CFGB76106;o__OFGB76106	8.12557	0.00431	7.85467	3.52479	4.74986	8.29523	7.38727	9.00178	1.4128	1.66349	0.12295	1.02346	2.99353	0.6281	4.5445	2.03489
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	7.02368	0.33999	0.80475	0.42006	0.1356	0.38759	3.08652	1.00252	1.60014	2.47401	0.06068	0.40661	0.01746	0.08901	0.67443	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales	2.19577	2.66908	0.21036	9.34208	10.19488	0.0	0.18668	3.43166	0.0	0.16117	0.09832	0.08346	0.06237	0.11154	7.80457	7.99155
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	0.85097	0.02199	0.92377	0.0	0.0	0.12212	0.48688	0.46799	4.77344	1.00392	0.76336	0.18861	3.8863	0.07391	0.1203	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales	0.82394	0.0865	0.31398	3.13446	3.04258	1.2467	1.44931	0.63871	1.40281	0.0	0.17633	0.43293	1.93752	0.16134	0.26635	3.04623
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales	0.42935	0.0	0.23861	0.0	0.0	0.1143	0.0	0.0	0.1085	0.03552	1.90508	0.0896	0.40049	0.0	0.32824	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.42479	0.036	0.76264	0.52257	0.20262	1.2743	7.93387	0.72589	2.71975	0.57504	2.34734	0.21238	5.07998	0.0	0.33446	0.00545
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783	0.39147	0.0	0.30583	1.69617	2.46128	2.4226	1.6355	10.78649	0.45144	2.58342	0.0	0.24839	0.04227	0.19785	6.03718	2.88282
k__Bacteria;p__Firmicutes;c__CFGB24731;o__OFGB24731	0.3803	0.0	0.0	25.11278	19.68525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.79472
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.25987	0.01363	0.11624	0.0	0.0	0.72602	0.05265	0.30724	1.89591	0.45128	0.0	0.14103	0.11815	0.08824	1.09385	0.00244
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales	0.18546	0.0	0.0	0.0	0.0	0.0	0.03024	0.0	0.0161	0.00106	0.00323	0.0	1.26057	0.0	0.0	0.16612
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.14753	0.0	1.14673	0.0	0.0	0.31404	0.0	0.0	0.0	0.0	0.78378	0.28507	1.45564	0.00618	0.0	0.02669
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.12651	0.05397	0.1486	0.13723	0.16261	0.44612	0.71592	0.86915	0.00312	0.65282	0.0	0.10325	0.0	0.00927	1.07404	0.27971
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales	0.09361	0.01203	0.35555	1.61515	1.55197	0.19652	0.13842	0.07658	0.01307	0.0	0.39715	0.15021	0.39343	0.08972	0.0	0.92137
k__Bacteria;p__Firmicutes;c__CFGB1851;o__OFGB1851	0.06533	0.05606	0.00138	0.02255	0.05033	2.75471	0.0	0.27338	0.00128	0.61371	0.85875	1.06019	0.0	1.49676	0.0	0.06092
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375	0.03347	0.0	0.39871	2.39382	2.75799	0.03627	2.60554	0.75584	17.26219	1.06212	2.75518	0.73592	13.29758	0.15169	0.00935	0.0
k__Bacteria;p__Firmicutes;c__CFGB75522;o__OFGB75522	0.00951	0.0	1.62434	0.02045	0.0161	0.00895	0.83541	0.1585	2.14434	0.00168	0.1	0.0	1.79626	0.00726	0.0054	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.00503	0.0	0.01033	0.0	0.0	0.0	0.0	0.00262	0.0	0.0	0.0	0.0	0.8876	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales	0.00428	0.0	0.0	0.00023	0.0	0.0	0.01083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.14059	0.1088	0.31602	0.0	0.0	0.1766	0.0	0.0	0.0	0.0	0.0	0.0	0.02988	0.41801
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868	0.0	0.0	0.0825	0.26033	0.05342	0.01342	0.08192	0.26093	0.91567	0.09355	0.09414	0.0	0.05073	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB8822;o__OFGB8822	0.0	0.0	0.05452	0.03501	0.081	0.01632	0.01911	0.00304	0.33885	0.0	0.0	0.0	1.18217	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified	0.0	0.0	0.05257	0.27612	0.4454	0.01275	0.06857	0.03888	0.05438	0.01924	0.0	0.0072	0.07647	0.0	0.05917	0.0
k__Bacteria;p__Firmicutes;c__CFGB28775;o__OFGB28775	0.0	0.0	0.02301	0.00275	0.01541	0.10269	0.14426	0.00456	0.02877	0.0	0.0	0.0	0.0363	0.0	0.0	0.04101
k__Bacteria;p__Firmicutes;c__CFGB43318;o__OFGB43318	0.0	0.0	0.02131	0.10283	0.14409	0.03637	0.42007	0.03898	0.08277	0.0	0.0	0.0	0.0478	0.0	0.01052	0.01927
k__Bacteria;p__Firmicutes;c__CFGB1473;o__OFGB1473	0.0	0.0	0.01229	0.0	0.0	0.02351	0.0	0.0	0.0273	0.01492	0.05265	0.0	0.00709	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0	0.0	0.0	2.45229	0.89583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB29473;o__OFGB29473	0.0	0.0	0.0	1.03279	1.21413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.0	0.0	0.0	0.96578	0.75994	0.0	0.00802	0.00672	1.01649	0.0	0.04023	0.0	0.20163	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__CFGB76760;o__OFGB76760	0.0	0.0	0.0	0.94032	0.97884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48227
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070	0.0	0.0	0.0	0.57349	1.08708	0.0	0.04879	0.0	0.0	0.0	0.0	0.0	1.78193	0.0	0.0	0.01757
k__Bacteria;p__Firmicutes;c__CFGB72809;o__OFGB72809	0.0	0.0	0.0	0.46131	0.53998	0.0	0.0837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06104
k__Bacteria;p__Firmicutes;c__CFGB76688;o__OFGB76688	0.0	0.0	0.0	0.29173	0.16195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721	0.0	0.0	0.0	0.25737	0.21235	0.0	0.0	0.03483	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.01888
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628	0.0	0.0	0.0	0.25606	0.02321	0.0	0.0	0.0	0.14721	0.0	0.0	0.0	0.12185	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB635;o__OFGB635	0.0	0.0	0.0	0.15154	0.0479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified	0.0	0.0	0.0	0.08965	0.09383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.08134	0.0	0.0	0.01841	0.0	0.02723	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76082;o__OFGB76082	0.0	0.0	0.0	0.06607	0.00482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76331;o__OFGB76331	0.0	0.0	0.0	0.05678	0.07013	0.0	0.13767	0.83962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05226
k__Bacteria;p__Fusobacteria;c__CFGB76370;o__OFGB76370	0.0	0.0	0.0	0.04755	0.0378	0.0	0.01093	0.0	0.42639	0.0	0.0676	0.0	0.91736	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76132;o__OFGB76132	0.0	0.0	0.0	0.02576	0.0	0.0	0.0	0.28289	0.0	0.0	0.0	0.0	0.00355	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76600;o__OFGB76600	0.0	0.0	0.0	0.01396	0.01814	0.0	0.0	0.0	0.0414	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76329;o__OFGB76329	0.0	0.0	0.0	0.00711	0.02805	0.0	0.0	0.01403	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0
