clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	12.5913	1.29605	0.04789	0.01421	0.00408	0.0	1.86394	0.30483	0.11399	0.35849	0.0	1.09053	0.0	1.82855	0.00373	0.41383
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374;f__FGB76374;g__GGB4451	8.20321	0.0	3.51593	1.49869	2.4726	8.34966	0.02699	9.84064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68377
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	7.11339	2.48728	3.05805	0.74338	1.41957	10.19448	6.90617	3.01331	10.97997	2.99586	12.0358	2.89387	12.10669	2.87228	14.46485	1.11192
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	7.02368	0.33999	0.66192	0.05196	0.07438	0.20641	2.51529	0.31742	0.85674	1.78917	0.04019	0.40661	0.0	0.08901	0.01219	0.0
k__Bacteria;p__Firmicutes;c__CFGB76106;o__OFGB76106;f__FGB76106;g__GGB3600	6.42708	0.00431	1.98881	1.59431	2.28829	6.05002	4.79029	3.41607	0.85914	1.52778	0.12295	1.02346	2.99353	0.6281	4.33018	1.08126
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	6.27242	2.96112	5.01034	0.01643	0.04636	6.59528	3.07742	1.85472	3.82968	1.70571	6.64752	1.7897	3.79464	1.74542	11.48154	0.25216
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	4.96051	26.641	0.70306	0.5389	0.5945	0.0	0.0	0.87199	0.05963	4.88056	11.01537	33.18835	0.0	41.12499	2.28964	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter	4.61541	0.51146	3.74935	0.97142	1.16156	2.7761	1.36594	2.62737	2.96128	4.6159	3.31613	3.27858	0.32586	1.68008	7.77482	0.05347
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia	4.33324	2.85268	13.96949	1.54695	2.33598	9.65296	8.65919	6.59927	6.66972	4.1828	5.08062	6.43172	5.38989	2.78914	7.12064	2.01332
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter	4.16975	0.0	2.41369	0.56031	0.65455	0.0	0.13271	6.00199	0.0	0.0	0.0	0.0	0.0	0.0	2.44924	5.17386
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	3.94631	11.91809	0.99847	0.0	0.0	0.00594	4.13554	1.16342	2.04532	12.53433	8.16546	0.31821	0.06774	0.36963	1.26958	0.0
