clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium	12.47956	0.24135	0.0371	0.0	0.0	0.0	1.07166	0.0204	0.01334	0.12529	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374;f__FGB76374;g__GGB4451;s__GGB4451_SGB6132	8.20321	0.0	3.51593	1.49869	2.4726	8.34966	0.02699	9.84064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68377
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	7.02368	0.33999	0.66192	0.05196	0.07438	0.20641	2.51529	0.31742	0.85674	1.78917	0.04019	0.40661	0.0	0.08901	0.01219	0.0
k__Bacteria;p__Firmicutes;c__CFGB76106;o__OFGB76106;f__FGB76106;g__GGB3600;s__GGB3600_SGB4859	6.42708	0.00431	1.98881	1.59431	2.28829	6.05002	4.79029	3.41607	0.85914	1.52778	0.12295	1.02346	2.99353	0.6281	4.33018	1.08126
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_intestinalis	6.30248	1.3521	2.85393	0.67379	1.27359	8.21217	6.39451	2.04143	8.36507	2.28695	6.90814	2.15203	7.88739	2.32314	13.65204	1.00937
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella_porci	6.27242	2.96112	5.01034	0.01643	0.04636	6.59528	3.07742	1.85472	3.82968	1.70571	6.64752	1.7897	3.79464	1.74542	11.48154	0.25216
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_gnavus	4.61541	0.50977	3.64558	0.93697	1.11107	2.72631	0.76112	2.56132	2.83664	4.58123	3.18759	3.20282	0.2553	1.6656	7.71549	0.03521
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_johnsonii	4.60473	12.77896	0.69931	0.5389	0.5945	0.0	0.0	0.86707	0.05963	4.74362	10.97045	25.81575	0.0	34.03526	2.1984	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__Candidatus_Catenibacterium_tridentinum	4.21075	2.27306	7.04697	0.0	0.0	4.64035	0.00066	2.54201	2.20636	0.0	8.55696	1.92732	3.08095	1.51787	0.69862	0.13666
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_alactolyticus	2.72779	1.75647	0.44719	0.0	0.0	0.00594	4.13276	0.95937	0.09746	1.489	0.10914	0.29589	0.0	0.34172	0.13992	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter_sp_TS3	2.50921	0.0	1.86512	0.10497	0.12096	0.0	0.03067	3.76651	0.0	0.0	0.0	0.0	0.0	0.0	2.26079	3.57733
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae	2.46524	1.76317	4.61127	0.0	0.0	0.00434	0.0	0.0	0.0	0.0245	3.14606	3.45712	0.46355	1.18931	0.0	0.03108
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum_stercoricanis	2.26125	0.0	0.80499	0.13989	0.17367	17.57555	9.9378	1.48141	1.72172	0.01125	0.00063	0.11773	4.29295	0.09065	0.09268	0.83881
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter_hiranonis	2.20668	1.8971	9.57181	2.81968	3.63612	4.58433	15.36293	3.41269	12.29129	5.8266	14.62009	10.36353	16.14442	4.71635	9.57215	2.41894
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus_animalis	1.82576	24.37698	19.15424	0.0	0.0	0.0	0.16041	6.83639	4.24124	23.48159	12.64449	4.88267	1.068	9.85649	9.2721	0.0
