group	ASD	control	control	ASD	ASD	ASD	ASD	control	ASD	control	control	ASD	ASD	ASD	control
sample	DBYX1FB	DBYX2FB	GCRFB	GJCFB	LQYFB	LXRFB	LYSFB	STFB	TZYFB	XSYFB	YCZFB	ZSXFB	ZYYFB	ZZRFB	ZZXFB
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	99.85866	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	63.18685	63.09831	40.48955	43.19192	54.54601	51.80978	68.26579	67.74445	80.7816	73.6109	51.21953	55.12448	38.62234	56.86705	73.5699
k__Bacteria|p__Bacteroidetes	18.55729	4.1185	45.56985	50.91011	28.91288	33.63069	24.21396	19.14025	13.30571	4.50396	26.9474	35.93801	1.86267	0.0	15.26461
k__Bacteria|p__Actinobacteria	12.69251	31.82872	10.02837	2.69654	11.83259	8.71905	0.31955	11.13607	3.78192	21.2351	20.757	6.94672	56.59113	42.73234	9.33379
k__Bacteria|p__Proteobacteria	5.55898	0.93446	0.53061	0.94092	1.16773	1.18204	6.2413	0.11148	1.72492	0.60814	0.68978	1.58091	0.13314	0.39145	1.80129
k__Bacteria|p__Candidatus_Saccharibacteria	0.00438	0.02001	0.0	0.0	0.0	0.0	0.0	0.00535	0.00939	0.0	0.0	0.0	0.0	0.00584	0.03041
k__Bacteria|p__Firmicutes|c__Clostridia	40.57127	55.7767	31.71775	16.90103	49.84949	46.32145	65.57947	62.21592	76.5157	66.82013	41.60023	52.24415	36.80353	48.0565	69.77864
k__Bacteria|p__Firmicutes|c__Negativicutes	19.02309	1.15444	1.25192	0.01008	0.52878	1.934	0.29843	0.83548	0.69779	0.51419	3.09173	0.68653	0.12246	0.06422	2.08385
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18.55729	4.10026	45.56985	50.91011	28.91288	33.63069	24.21396	19.14025	13.30571	4.50396	26.94227	35.93801	1.86267	0.0	15.26461
k__Bacteria|p__Actinobacteria|c__Actinomycetia	10.31811	27.0456	7.79534	2.38777	8.07013	2.67932	0.20712	9.57238	2.24385	15.94693	3.37871	5.83197	50.44821	42.56849	3.52344
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5.30622	0.82432	0.0672	0.71604	0.61985	0.42785	4.61843	0.00848	1.66209	0.60814	0.24768	0.46894	0.13314	0.39145	0.89117
k__Bacteria|p__Firmicutes|c__Bacilli	2.44997	1.78425	0.29809	2.00643	0.56908	1.89864	0.42555	1.36626	1.80537	4.7575	4.12671	0.47455	1.18461	8.55895	1.30033
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.37439	4.55903	1.1124	0.30877	3.76246	6.03973	0.11243	1.56369	1.53808	5.28817	16.83912	1.11475	6.14292	0.16384	5.81035
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.12136	1.47887	1.89273	0.01708	1.685	0.25174	0.77843	1.07257	1.33202	0.51151	0.12925	0.38463	0.46444	0.0815	0.36143
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.18733	0.07505	0.27079	0.20218	0.28798	0.0	1.00113	0.01219	0.0584	0.0	0.08828	0.32005	0.0	0.0	0.68945
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.06543	0.03337	0.19262	0.01834	0.25184	0.65626	0.61715	0.09081	0.00444	0.0	0.33541	0.79193	0.0	0.0	0.22067
k__Bacteria|p__Firmicutes|c__CFGB8822	0.01114	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0594	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia	0.00875	0.03846	0.0	0.0	0.0	0.0	0.0	0.01096	0.00958	0.0	0.08609	0.0	0.0	0.0	0.0
