sample,Shannon,Simpson
Sample10,4.244630272,0.929494486
Sample11,4.232925959,0.925572124
Sample12,3.989226099,0.919468612
Sample13,4.902134853,0.924892336
Sample14,5.169122653,0.956464679
Sample15,4.287468186,0.847344551
Sample16,5.102944696,0.957849571
Sample17,3.596033432,0.842340289
Sample18,4.553756778,0.925910674
Sample1,3.865237885,0.882985166
Sample20,4.288016554,0.925334627
Sample21,2.336084859,0.550934572
Sample22,4.627566841,0.937077243
Sample23,3.030182232,0.702077331
Sample24,4.863941934,0.939434658
Sample2,4.037415444,0.912572186
Sample3,4.029070186,0.912826475
Sample4,3.940890157,0.900319332
Sample5,4.405651171,0.925070523
Sample6,3.148329742,0.850171868
Sample7,4.244438319,0.926019394
Sample8,2.292868721,0.710725541
Sample9,3.628825874,0.895472763
