#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	71.63052	73.74542	77.029	38.51039	71.41664	43.22116	68.92987	51.80071	40.47202	65.55283	85.48273	24.35056	63.43648	89.97508	77.23584	72.03266	69.59807	66.56568	85.20543	89.09001	78.75999	99.98749	84.06793
k__Bacteria|p__Actinobacteria	21.23673	12.46635	0.57648	3.56269	4.2825	4.80255	8.0269	12.45371	2.46137	5.1534	6.47745	1.82361	20.88768	2.49134	4.57188	10.19525	3.93753	7.06122	7.72078	8.56054	5.38326	0.0	10.1182
k__Bacteria|p__Fusobacteria	7.08231	10.96125	0.0	16.14728	4.64947	3.09749	4.76359	0.06132	26.22479	0.012	0.37886	0.0	0.23594	0.00133	1.77612	0.0	3.70787	0.0	1.61237	0.00758	0.0	0.00594	0.0
k__Bacteria|p__Proteobacteria	0.03492	2.71677	3.25547	26.70896	18.71566	42.77904	15.33967	35.68342	22.24695	0.45107	6.36253	73.82385	14.90042	2.74329	13.03389	0.12646	3.49314	0.90688	4.04406	1.36285	3.00797	0.00657	0.02523
k__Bacteria|p__Bacteroidetes	0.01552	0.11021	19.13905	14.76888	0.87104	6.09976	2.93996	0.00083	8.59487	28.8307	1.27329	0.00198	0.53949	4.78897	3.38227	17.64563	19.26338	25.46623	1.41737	0.97902	12.84878	0.0	5.78864
k__Bacteria|p__Firmicutes|c__Clostridia	46.19325	57.62663	57.90036	14.87263	20.07547	14.34957	20.72442	23.13851	14.6964	22.01779	36.78645	5.17544	12.32388	8.11465	28.52633	57.40981	38.24657	52.44345	63.14201	65.11161	59.80551	99.76509	68.63222
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	12.80242	11.42365	0.57648	2.95906	3.70937	3.42919	6.66316	12.34271	2.16946	4.79031	5.85021	0.29941	18.17027	2.15305	3.64244	4.027	2.46239	3.61474	6.49547	7.59023	3.63024	0.0	10.1182
k__Bacteria|p__Firmicutes|c__CFGB76374	9.75281	0.0	0.0	2.83648	4.94235	5.80374	8.65338	7.72237	1.84814	0.0	13.77286	1.67284	2.14413	3.09547	3.04292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75783	9.39115	2.35517	0.0	3.82456	6.2302	3.09453	2.52826	2.83439	2.91299	1.91534	9.89317	1.59225	4.71424	0.75805	5.93267	0.0	4.60315	0.0	4.19549	0.0	0.0	0.0	0.0
