clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae	26.30908	41.05662	48.4984	6.00491	12.85602	6.35392	16.88102	18.45358	6.98646	14.51175	33.15422	4.7383	10.06604	5.82813	9.56034	47.72168	34.04039	44.03309	43.94786	34.99969	48.65319	99.38895	50.95304
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	12.71464	11.15219	0.57648	2.95529	3.70937	3.12764	6.6584	12.34271	2.14265	4.69946	5.75332	0.29941	17.33963	1.92584	3.63064	4.027	2.46239	3.61474	6.2754	7.59023	3.63024	0.0	9.88242
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374;f__FGB76374	9.75281	0.0	0.0	2.83648	4.94235	5.80374	8.65338	7.72237	1.84814	0.0	13.77286	1.67284	2.14413	3.09547	3.04292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783	9.39115	2.35517	0.0	3.82456	6.2302	3.09453	2.52826	2.83439	2.91299	1.91534	9.89317	1.59225	4.71424	0.75805	5.93267	0.0	4.60315	0.0	4.19549	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae	7.27155	0.22331	0.0	0.54747	0.03799	0.0	0.0	0.0	0.27169	0.0	0.54287	0.0	0.0	0.22529	0.91938	0.0	0.15858	0.0	0.4372	0.0	0.02116	0.0	0.0
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375;f__FGB76375	7.08231	10.48614	0.0	10.56826	3.74603	2.62495	4.26912	0.06132	13.22043	0.00303	0.33985	0.0	0.17743	0.0	1.45057	0.0	2.5595	0.0	1.59287	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae	3.88825	0.70264	9.28019	0.98713	4.34476	0.79246	1.67994	1.22205	1.69973	1.9063	0.3433	0.1313	0.9277	0.21554	3.70757	3.1658	0.77864	2.58338	1.42125	18.28069	10.21518	0.34232	1.34402
k__Bacteria;p__Firmicutes;c__CFGB76106;o__OFGB76106;f__FGB76106	2.92475	5.58219	0.0	2.97529	18.04115	6.82571	5.85774	4.34617	4.56114	4.47479	13.32427	2.97614	12.40534	0.22405	5.45728	4.59812	8.79499	3.50682	9.70887	0.0	6.30425	0.0	6.19767
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae	1.49571	3.78046	9.11718	4.0435	9.18469	5.47536	7.48516	2.63704	1.73928	14.97056	4.35744	1.71275	5.96356	9.02998	11.43823	2.91321	1.12591	2.41104	2.94214	1.41479	2.9865	0.18617	3.36496
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.92204	0.0	0.02403	0.0	3.13964	1.29702	15.2473	4.02997	0.0	0.0	0.0	1.20564	8.59598	3.31552	0.12133	0.0	0.00669	0.0091	0.0	0.0	3.787	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.31018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.29221	0.0	0.0	0.0	0.11677	0.13851	0.0	0.92677	0.0	0.02047	0.0336	4.59643	3.62168	7.87692	0.09249	0.0	5.49765	0.0	0.0	0.26957	0.0	0.03622	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified	0.2199	0.47646	0.0	0.26547	0.64264	0.41223	1.3823	0.07857	0.08384	0.02003	0.0	0.01034	0.14944	0.04042	0.49644	0.90708	0.60798	0.68619	0.73069	0.0	0.11822	0.0	0.4164
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae	0.08778	0.27146	0.0	0.00377	0.0	0.30155	0.00476	0.0	0.02681	0.09086	0.0969	0.0	0.83063	0.2272	0.01179	0.0	0.0	0.0	0.22008	0.0	0.0	0.0	0.23579
k__Bacteria;p__Firmicutes;c__CFGB1437;o__OFGB1437;f__FGB1437	0.06158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae	0.06012	1.27886	5.88907	2.20857	0.04195	1.10078	2.60829	0.0	9.36558	15.514	0.48833	0.01413	0.0	2.66885	15.00396	1.22888	8.79132	3.46209	0.29356	21.1313	5.05323	0.0	3.63068
