clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalimonas	14.11171	4.97481	10.60478	0.829	0.69944	0.26357	1.32403	4.82708	1.47564	0.06663	5.57228	1.20916	3.59049	0.0	0.68552	3.20243	6.64367	2.57972	5.13763	0.47039	1.09099	47.668	3.2896
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	12.71464	9.03931	0.57648	1.67654	3.51716	2.47519	5.51295	12.26649	2.05564	4.45293	5.75332	0.23538	16.89476	1.88687	3.13691	4.027	2.46239	3.61474	4.85957	7.59023	3.63024	0.0	9.88242
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374;f__FGB76374;g__GGB4451	9.75281	0.0	0.0	2.83648	4.94235	5.80374	8.65338	7.72237	1.84814	0.0	13.77286	1.67284	2.14413	3.09547	3.04292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB79908	8.70727	0.86346	0.0	3.28696	5.33352	2.88191	1.56998	2.21533	1.66616	1.55232	7.20488	1.38723	3.47456	0.72019	4.23749	0.0	0.0	0.0	2.45276	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB47956	8.05176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03974	0.0	0.71064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptacetobacter	7.48248	15.06069	0.0	0.48749	0.59956	0.38853	1.08682	2.6946	0.68978	3.55121	0.93827	0.29408	0.42007	0.57482	0.76257	6.15035	2.20942	4.99277	13.82888	0.0	0.0	0.0	15.18539
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	7.27155	0.22331	0.0	0.54747	0.03799	0.0	0.0	0.0	0.27169	0.0	0.54287	0.0	0.0	0.22529	0.91938	0.0	0.15858	0.0	0.4372	0.0	0.02116	0.0	0.0
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375;f__FGB76375;g__GGB4386	7.08231	10.48614	0.0	10.56826	3.74603	2.62495	4.26912	0.06132	13.22043	0.00303	0.33985	0.0	0.17743	0.0	1.45057	0.0	2.5595	0.0	1.59287	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia	4.9858	12.62809	15.50538	1.46704	4.00522	3.14124	7.62623	8.8685	3.33304	9.34539	10.1838	2.03563	3.57128	0.59431	3.59835	36.15583	14.88417	34.39761	16.33214	28.30935	26.61402	22.54751	27.23552
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79912	4.45221	5.05603	2.27184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76688	1.83433	2.00078	2.04017	0.07554	0.58319	4.81793	3.9825
