clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas_umbilicata	14.11171	4.97481	10.60478	0.829	0.69944	0.26357	1.32403	4.82708	1.47564	0.06663	5.57228	1.20916	3.59049	0.0	0.68552	3.20243	6.64367	2.57972	5.13763	0.47039	1.09099	47.668	3.2896
k__Bacteria;p__Firmicutes;c__CFGB76374;o__OFGB76374;f__FGB76374;g__GGB4451;s__GGB4451_SGB6132	9.75281	0.0	0.0	2.83648	4.94235	5.80374	8.65338	7.72237	1.84814	0.0	13.77286	1.67284	2.14413	3.09547	3.04292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB79908;s__GGB79908_SGB47660	8.70727	0.86346	0.0	3.28696	5.33352	2.88191	1.56998	2.21533	1.66616	1.55232	7.20488	1.38723	3.47456	0.72019	4.23749	0.0	0.0	0.0	2.45276	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB47956;s__GGB47956_SGB71712	8.05176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03974	0.0	0.71064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter_hiranonis	7.48248	15.06069	0.0	0.48749	0.59956	0.38853	1.08682	2.6946	0.68978	3.55121	0.93827	0.29408	0.42007	0.57482	0.76257	6.15035	2.20942	4.99277	13.82888	0.0	0.0	0.0	15.18539
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375;f__FGB76375;g__GGB4386;s__GGB4386_SGB6036	7.08231	10.48614	0.0	10.56826	3.74603	2.62495	4.26912	0.06132	13.22043	0.00303	0.33985	0.0	0.17743	0.0	1.45057	0.0	2.5595	0.0	1.59287	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_intestinalis	6.89386	8.9753	0.0	1.67654	3.20512	2.31403	5.2335	12.26649	2.02631	4.28691	5.75332	0.23538	1.18158	0.88796	3.13691	2.53347	2.46239	2.6166	4.80685	7.59023	3.25759	0.0	9.88242
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB59878	4.74421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.76177	0.0	0.0	1.41335	0.0	0.92685	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_hansenii	4.69985	5.32458	15.50538	1.0669	2.87955	1.18304	3.18689	3.43636	2.24865	0.0444	8.60546	0.49673	2.13215	0.37665	3.18885	5.61991	3.20302	4.54114	2.19695	22.60903	4.01317	5.88564	9.85139
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	4.647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0965	0.0	0.0	0.0	0.02116	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79912;s__GGB79912_SGB4550	4.45221	5.05603	2.27184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76688	1.83433	2.00078	2.04017	0.07554	0.58319	4.81793	3.9825
k__Bacteria;p__Firmicutes;c__CFGB76106;o__OFGB76106;f__FGB76106;g__GGB3600;s__GGB3600_SGB4859	2.92475	5.58219	0.0	1.68318	5.48893	6.55589	5.62165	4.32525	2.10751	4.47479	13.32427	2.06388	8.18124	0.06824	4.18018	2.70401	8.79499	1.85479	9.70887	0.0	6.30425	0.0	6.19767
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_perfringens	2.75433	0.0	0.0	0.00947	2.74237	0.1068	0.40821	0.91718	0.0	0.50009	0.0	0.0	0.38876	0.0	2.28115	0.0	0.0	0.0	0.00734	0.04699	0.12055	0.03477	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	2.55459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Mediterraneibacter;s__Ruminococcus_gnavus	1.28701	6.99201	10.53087	0.19259	0.39202	0.03124	2.24246	2.0157	0.29177	3.71974	2.41307	0.33269	1.7162	0.0	0.37924	4.44177	10.10743	4.14931	6.13315	3.99157	12.1236	18.4917	16.09755
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens	1.07657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__GGB15589;s__GGB15589_SGB98507	1.07373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium_saudiense	1.01207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus_dolichus	0.96005	0.20179	0.0	0.27465	0.0	0.0	0.0	0.00072	0.0	0.0	0.02896	0.01836	0.0	0.0	0.0	0.15421	0.15646	0.24992	0.08869	0.0	0.88067	0.01768	0.2167
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB3579;s__GGB3579_SGB47659	0.68388	1.49171	0.0	0.5376	0.89668	0.21262	0.95828	0.61906	1.24683	0.36302	2.68829	0.20502	1.23968	0.03786	1.69518	0.0	4.60315	0.0	1.74274	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus;s__Vagococcus_salmoninarum	0.6306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_comes	0.44842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus;s__Faecalibacillus_intestinalis	0.39749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06826	0.05008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48712	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus	0.37851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42147	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum_soehngenii	0.37755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_timonensis	0.23547	0.04599	0.0	0.39071	0.0	0.0	0.0	0.0	0.08959	0.0	0.0	0.0	0.04955	0.0	0.19808	0.0	0.0	0.0	1.00612	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_wexlerae	0.22703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.09453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__GGB3680;s__GGB3680_SGB4994	0.2199	0.47646	0.0	0.26547	0.64264	0.41223	1.3823	0.07857	0.08384	0.02003	0.0	0.01034	0.14944	0.04042	0.49644	0.90708	0.60798	0.68619	0.73069	0.0	0.11822	0.0	0.4164
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mutans	0.20646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
