sample	group1	group2
Sample1	police_dog	Golden Retriever
Sample2	police_dog	Golden Retriever
Sample3	police_dog	Golden Retriever
Sample4	police_dog	Golden Retriever
Sample5	police_dog	Golden Retriever
Sample6	police_dog	Golden Retriever
Sample7	police_dog	Chinese Pastoral Dog
Sample8	police_dog	Chinese Pastoral Dog
Sample9	police_dog	Chinese Pastoral Dog
Sample10	police_dog	Chinese Pastoral Dog
Sample11	police_dog	Chinese Pastoral Dog
Sample12	police_dog	Chinese Pastoral Dog
Sample13	pet_dog	Kunming Dog
Sample14	pet_dog	Kunming Dog
Sample15	pet_dog	Kunming Dog
Sample16	pet_dog	Kunming Dog
Sample17	pet_dog	Kunming Dog
Sample18	pet_dog	Kunming Dog
Sample20	pet_dog	German shepherds
Sample21	pet_dog	German shepherds
Sample22	pet_dog	German shepherds
Sample23	pet_dog	German shepherds
Sample24	pet_dog	German shepherds
