sample	group
Sample1	Golden Retriever
Sample2	Golden Retriever
Sample3	Golden Retriever
Sample4	Golden Retriever
Sample5	Golden Retriever
Sample6	Golden Retriever
Sample7	Chinese Pastoral Dog
Sample8	Chinese Pastoral Dog
Sample9	Chinese Pastoral Dog
Sample10	Chinese Pastoral Dog
Sample11	Chinese Pastoral Dog
Sample12	Chinese Pastoral Dog
Sample13	Kunming Dog
Sample14	Kunming Dog
Sample15	Kunming Dog
Sample16	Kunming Dog
Sample17	Kunming Dog
Sample18	Kunming Dog
Sample20	German shepherds
Sample21	German shepherds
Sample22	German shepherds
Sample23	German shepherds
Sample24	German shepherds
